 ,person,bicycle,car,motorcycle,airplane,bus,train,truck,boat,traffic light,fire hydrant,stop sign,parking meter,bench,bird,cat,dog,horse,sheep,cow,elephant,bear,zebra,giraffe,backpack,umbrella,handbag,tie,suitcase,frisbee,skis,snowboard,sports ball,kite,baseball bat,baseball glove,skateboard,surfboard,tennis racket,bottle,wine glass,cup,fork,knife,spoon,bowl,banana,apple,sandwich,orange,broccoli,carrot,hot dog,pizza,donut,cake,chair,couch,potted plant,bed,dining table,toilet,tv,laptop,mouse,remote,keyboard,cell phone,microwave,oven,toaster,sink,refrigerator,book,clock,vase,scissors,teddy bear,hair drier,toothbrush,end node
person,0.0,0.0166,0.0537,0.0175,0.0065,0.019,0.0102,0.0251,0.0125,0.0154,0.0044,0.0041,0.0021,0.0259,0.005,0.0044,0.0129,0.0126,0.0023,0.0039,0.0054,0.0005,0.0007,0.0028,0.0317,0.0217,0.0392,0.0229,0.0097,0.0115,0.0192,0.0102,0.0258,0.0132,0.0156,0.0164,0.0215,0.0212,0.0212,0.0287,0.0104,0.0305,0.0111,0.0149,0.0106,0.0182,0.0058,0.0032,0.0062,0.003,0.0017,0.0023,0.0044,0.0101,0.0053,0.0099,0.0506,0.0141,0.0124,0.008,0.037,0.0026,0.0122,0.011,0.003,0.013,0.0038,0.0241,0.003,0.0065,0.0003,0.0064,0.0055,0.0144,0.012,0.0053,0.0025,0.0054,0.0006,0.0034,0.0022
bicycle,0.239,0.0,0.1117,0.0409,0.0015,0.0391,0.0093,0.0405,0.0112,0.0415,0.0094,0.0113,0.007,0.0305,0.0057,0.0064,0.0127,0.0071,0.0009,0.0051,0.0023,0.0001,0.0002,0.0001,0.0574,0.028,0.0589,0.0074,0.0101,0.0029,0.0004,0.0001,0.004,0.0067,0.0015,0.0012,0.0222,0.0034,0.0013,0.0148,0.0013,0.0088,0.0014,0.002,0.0013,0.0043,0.0057,0.0015,0.0016,0.0018,0.0005,0.0009,0.001,0.0013,0.0012,0.0008,0.0228,0.0034,0.0132,0.0018,0.0126,0.0005,0.004,0.0025,0.0013,0.0011,0.0014,0.0166,0.0005,0.0008,0.0001,0.0007,0.0016,0.0064,0.0088,0.0015,0.0005,0.0023,0.0,0.0004,0.0061
car,0.242,0.0351,0.0,0.0391,0.0101,0.0604,0.012,0.1041,0.0074,0.072,0.0217,0.022,0.0135,0.0231,0.0052,0.0047,0.0137,0.0109,0.0024,0.0042,0.0032,0.0002,0.0014,0.0014,0.0293,0.0221,0.043,0.0085,0.0089,0.0078,0.0021,0.0011,0.0083,0.0074,0.0038,0.0039,0.0176,0.0038,0.0042,0.0068,0.0013,0.0068,0.0018,0.0016,0.0016,0.0026,0.0021,0.0009,0.0015,0.0011,0.0004,0.0007,0.0015,0.002,0.0018,0.0011,0.0156,0.0013,0.0102,0.0006,0.0088,0.0007,0.0021,0.0016,0.0007,0.0003,0.0008,0.0133,0.0003,0.0005,0.0,0.0003,0.001,0.0026,0.0142,0.0011,0.0003,0.0023,0.0001,0.0003,0.0042
motorcycle,0.3179,0.0516,0.1571,0.0,0.0017,0.0334,0.0027,0.072,0.0025,0.0367,0.0047,0.0092,0.0037,0.0136,0.0029,0.0043,0.0123,0.0029,0.0016,0.0105,0.0043,0.0001,0.0,0.0,0.0381,0.0219,0.051,0.0075,0.0073,0.0005,0.0002,0.0001,0.0013,0.0011,0.0002,0.0,0.0034,0.0008,0.0005,0.0067,0.0007,0.004,0.0007,0.0006,0.0003,0.0019,0.0051,0.0011,0.0002,0.0017,0.0001,0.0006,0.0001,0.0007,0.0002,0.0003,0.0187,0.0005,0.0132,0.0001,0.0062,0.0001,0.0016,0.0008,0.0003,0.0002,0.0003,0.0091,0.0002,0.0,0.0,0.0,0.0006,0.003,0.0058,0.0003,0.0001,0.0017,0.0001,0.0,0.0319
airplane,0.2402,0.004,0.0835,0.0035,0.0,0.0168,0.0019,0.1506,0.0182,0.0051,0.0012,0.0012,0.0005,0.0056,0.0058,0.0007,0.0014,0.0009,0.0005,0.0005,0.0002,0.0,0.0,0.0002,0.0161,0.0026,0.0222,0.0098,0.018,0.0007,0.0005,0.0,0.0005,0.0035,0.0005,0.0005,0.0005,0.0007,0.0007,0.0023,0.0002,0.0016,0.0,0.0007,0.0,0.0009,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0002,0.0,0.0016,0.0105,0.0,0.0026,0.0002,0.0028,0.0,0.0016,0.0012,0.0,0.0005,0.0005,0.0028,0.0,0.0002,0.0,0.0002,0.0005,0.0019,0.0026,0.0002,0.0,0.0005,0.0002,0.0,0.3439
bus,0.27,0.0387,0.1905,0.0263,0.0065,0.0,0.0087,0.0822,0.0051,0.0768,0.0075,0.0111,0.0031,0.0195,0.0037,0.0003,0.0043,0.0068,0.0015,0.0024,0.0014,0.0003,0.0004,0.0007,0.0429,0.0154,0.0605,0.0108,0.01,0.0003,0.001,0.0003,0.0013,0.0029,0.0004,0.0005,0.0044,0.0011,0.0007,0.003,0.0001,0.0016,0.0,0.0001,0.0001,0.0004,0.0011,0.0007,0.0007,0.0009,0.0,0.0002,0.0007,0.0003,0.0007,0.0002,0.0077,0.0001,0.0075,0.0,0.0029,0.0,0.001,0.0005,0.0002,0.0,0.0001,0.0081,0.0,0.0,0.0001,0.0,0.0,0.0012,0.0148,0.0003,0.0,0.0007,0.0001,0.0,0.0239
train,0.2763,0.0175,0.0717,0.0041,0.0014,0.0165,0.0,0.0294,0.0097,0.0688,0.0022,0.0066,0.0008,0.0397,0.0037,0.0005,0.0029,0.0046,0.0008,0.0015,0.0017,0.0,0.0002,0.0,0.0411,0.0065,0.0586,0.0112,0.0284,0.0,0.0005,0.0002,0.0003,0.0005,0.0,0.0,0.0017,0.0003,0.0,0.0044,0.001,0.0019,0.0002,0.0002,0.0002,0.0005,0.0007,0.0007,0.0003,0.0003,0.0,0.0002,0.0003,0.0,0.0005,0.0032,0.011,0.0007,0.0066,0.0003,0.0031,0.0003,0.0017,0.0012,0.0002,0.0,0.0005,0.0105,0.0,0.0003,0.0,0.0002,0.0002,0.0031,0.0148,0.0003,0.0,0.0012,0.0,0.0,0.2193
truck,0.2298,0.0258,0.2109,0.0363,0.0371,0.0528,0.01,0.0,0.0082,0.0615,0.0156,0.017,0.0075,0.0135,0.0048,0.0009,0.013,0.0123,0.0048,0.0059,0.0032,0.0004,0.0013,0.0014,0.0248,0.0157,0.0359,0.0074,0.0087,0.0051,0.0018,0.0013,0.0041,0.0058,0.002,0.0018,0.0089,0.0028,0.0014,0.0063,0.0007,0.0037,0.0006,0.0005,0.0012,0.0022,0.0029,0.0016,0.0005,0.0017,0.0005,0.0009,0.0007,0.0007,0.0009,0.001,0.0128,0.0008,0.0077,0.0004,0.0053,0.0006,0.001,0.0007,0.0001,0.0002,0.0002,0.0097,0.0002,0.0003,0.0,0.0001,0.0006,0.0012,0.0081,0.0004,0.0003,0.0009,0.0,0.0001,0.0203
boat,0.3484,0.0217,0.0459,0.0039,0.0137,0.01,0.01,0.0251,0.0,0.0023,0.0011,0.0011,0.0005,0.0354,0.0414,0.0009,0.027,0.0067,0.0018,0.0079,0.0026,0.0004,0.0,0.0014,0.02,0.0456,0.0209,0.0025,0.0049,0.0063,0.0035,0.0011,0.0046,0.0217,0.0011,0.0004,0.0044,0.0309,0.0004,0.0123,0.0023,0.0077,0.0023,0.004,0.0019,0.0058,0.004,0.0032,0.0019,0.0016,0.0,0.0005,0.0016,0.0005,0.0004,0.0011,0.0323,0.0019,0.0074,0.0009,0.0119,0.0007,0.0019,0.0007,0.0002,0.0007,0.0004,0.0065,0.0002,0.0005,0.0,0.0009,0.0005,0.0019,0.0116,0.0019,0.0,0.0019,0.0,0.0004,0.087
traffic light,0.2061,0.0386,0.2132,0.0271,0.0019,0.0721,0.0341,0.0899,0.0011,0.0,0.021,0.0141,0.0078,0.0154,0.0045,0.0003,0.0049,0.0069,0.0003,0.0008,0.0009,0.0,0.0,0.0,0.0379,0.0193,0.0561,0.0068,0.006,0.0003,0.0008,0.0004,0.0008,0.0008,0.0003,0.0004,0.0071,0.0007,0.0006,0.0032,0.0002,0.0024,0.0,0.0,0.0003,0.0003,0.0005,0.0003,0.0004,0.0003,0.0001,0.0001,0.0008,0.0003,0.0008,0.0001,0.0047,0.0,0.0089,0.0001,0.0022,0.0003,0.0015,0.0005,0.0001,0.0002,0.0002,0.0093,0.0001,0.0003,0.0,0.0001,0.0001,0.0011,0.0178,0.0003,0.0001,0.0006,0.0,0.0001,0.0426
